activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration
qns,studying,1558776489172,Sat May 25 14:58:09 GMT+05:30 2019,1558783292632,Sat May 25 16:51:32 GMT+05:30 2019,6803460,1 h 53 min
memorizing,studying,1558783292632,Sat May 25 16:51:32 GMT+05:30 2019,1558785152632,Sat May 25 17:22:32 GMT+05:30 2019,1860000,31 min
wasting time ,Wasted Time,1558785152632,Sat May 25 17:22:32 GMT+05:30 2019,1558787091972,Sat May 25 17:54:51 GMT+05:30 2019,1939340,32 min
internet time waste,Wasted Time,1558787091972,Sat May 25 17:54:51 GMT+05:30 2019,1558789329044,Sat May 25 18:32:09 GMT+05:30 2019,2237072,37 min
wasting time ,Wasted Time,1558789329044,Sat May 25 18:32:09 GMT+05:30 2019,1558790470601,Sat May 25 18:51:10 GMT+05:30 2019,1141557,19 min
tatti kari,Chores,1558790470601,Sat May 25 18:51:10 GMT+05:30 2019,1558791070601,Sat May 25 19:01:10 GMT+05:30 2019,600000,10 min
internet time waste,Wasted Time,1558791070601,Sat May 25 19:01:10 GMT+05:30 2019,1558793965338,Sat May 25 19:49:25 GMT+05:30 2019,2894737,48 min
memorizing,studying,1558793965338,Sat May 25 19:49:25 GMT+05:30 2019,1558795101986,Sat May 25 20:08:21 GMT+05:30 2019,1136648,18 min
wasting time ,Wasted Time,1558795101986,Sat May 25 20:08:21 GMT+05:30 2019,1558795581986,Sat May 25 20:16:21 GMT+05:30 2019,480000,8 min
other personal tasks,Personal Tasks,1558795581986,Sat May 25 20:16:21 GMT+05:30 2019,1558796481986,Sat May 25 20:31:21 GMT+05:30 2019,900000,15 min
Eating,Eating,1558796481986,Sat May 25 20:31:21 GMT+05:30 2019,1558798352011,Sat May 25 21:02:32 GMT+05:30 2019,1870025,31 min
wasting time ,Wasted Time,1558798352011,Sat May 25 21:02:32 GMT+05:30 2019,1558800043299,Sat May 25 21:30:43 GMT+05:30 2019,1691288,28 min
internet time waste,Wasted Time,1558800043299,Sat May 25 21:30:43 GMT+05:30 2019,1558803946238,Sat May 25 22:35:46 GMT+05:30 2019,3902939,1 h 5 min
wasting time ,Wasted Time,1558803946238,Sat May 25 22:35:46 GMT+05:30 2019,1558805806238,Sat May 25 23:06:46 GMT+05:30 2019,1860000,31 min
memorizing,studying,1558805806238,Sat May 25 23:06:46 GMT+05:30 2019,1558806578602,Sat May 25 23:19:38 GMT+05:30 2019,772364,12 min
wasting time ,Wasted Time,1558806578602,Sat May 25 23:19:38 GMT+05:30 2019,1558808438602,Sat May 25 23:50:38 GMT+05:30 2019,1860000,31 min
memorizing,studying,1558808438602,Sat May 25 23:50:38 GMT+05:30 2019,1558809099875,Sun May 26 00:01:39 GMT+05:30 2019,661273,11 min
qns,studying,1558809099875,Sun May 26 00:01:39 GMT+05:30 2019,1558810280765,Sun May 26 00:21:20 GMT+05:30 2019,1180890,19 min
memorizing,studying,1558810280765,Sun May 26 00:21:20 GMT+05:30 2019,1558813258253,Sun May 26 01:10:58 GMT+05:30 2019,2977488,49 min
Sleep,Rest,1558813258253,Sun May 26 01:10:58 GMT+05:30 2019,1558840315417,Sun May 26 08:41:55 GMT+05:30 2019,27057164,7 h 30 min
Sleep,Rest,1558840315417,Sun May 26 08:41:55 GMT+05:30 2019,1558841335417,Sun May 26 08:58:55 GMT+05:30 2019,1020000,17 min
morning routine,Chores,1558841335417,Sun May 26 08:58:55 GMT+05:30 2019,1558841924476,Sun May 26 09:08:44 GMT+05:30 2019,589059,9 min
qns,studying,1558841924476,Sun May 26 09:08:44 GMT+05:30 2019,1558843244476,Sun May 26 09:30:44 GMT+05:30 2019,1320000,22 min
shower,Chores,1558843244476,Sun May 26 09:30:44 GMT+05:30 2019,1558843904476,Sun May 26 09:41:44 GMT+05:30 2019,660000,11 min
tatti kari,Chores,1558843904476,Sun May 26 09:41:44 GMT+05:30 2019,1558844504476,Sun May 26 09:51:44 GMT+05:30 2019,600000,10 min
Eating,Eating,1558844504476,Sun May 26 09:51:44 GMT+05:30 2019,1558845948240,Sun May 26 10:15:48 GMT+05:30 2019,1443764,24 min
